,atom1,atom2,atom3,atom4,phase,per,phi
0,O1,C1,C2,O2,0.0,3,0.144
1,O1,C1,C2,O2,0.0,2,1.175
2,O1,C1,C2,C3,0.0,3,0.156
3,O5,C1,C2,O2,0.0,3,0.144
4,O5,C1,C2,O2,0.0,2,1.175
5,O5,C1,C2,C3,0.0,3,0.156
6,O2,C2,C3,O3,0.0,3,0.144
7,O2,C2,C3,O3,0.0,2,1.175
8,O2,C2,C3,C4,0.0,3,0.156
9,C1,C2,C3,O3,0.0,3,0.156
10,C1,C2,C3,C4,0.0,3,0.18
11,C1,C2,C3,C4,180.0,2,0.25
12,C1,C2,C3,C4,180.0,1,0.2
13,O3,C3,C4,C5,0.0,3,0.156
14,O3,C3,C4,O1,0.0,3,0.144
15,O3,C3,C4,O1,0.0,2,1.175
16,C2,C3,C4,C5,0.0,3,0.18
17,C2,C3,C4,C5,180.0,2,0.25
18,C2,C3,C4,C5,180.0,1,0.2
19,C2,C3,C4,O1,0.0,3,0.156
20,O5,C5,C4,O1,0.0,3,0.144
21,O5,C5,C4,O1,0.0,2,1.175
22,C6,C5,C4,O1,0.0,3,0.156
23,C3,C4,C5,O5,0.0,3,0.156
24,C3,C4,C5,C6,0.0,3,0.18
25,C3,C4,C5,C6,180.0,2,0.25
26,C3,C4,C5,C6,180.0,1,0.2
27,O5,C5,C6,O6,0.0,3,0.144
28,O5,C5,C6,O6,0.0,2,1.175
29,C4,C5,C6,O6,0.0,3,0.156
33,O2,C2,C1,O5,0.0,3,0.144
34,O2,C2,C1,O5,0.0,2,1.175
35,C3,C2,C1,O5,0.0,3,0.156
43,O1,C4,C3,O3,0.0,3,0.144
44,O1,C4,C3,O3,0.0,2,1.175
46,O1,C4,C3,C2,0.0,3,0.156
50,O1,C4,C5,O5,0.0,3,0.144
51,O1,C4,C5,O5,0.0,2,1.175
52,O1,C4,C5,C6,0.0,3,0.156
180,C1,C2,C3,C4,0.0,3,0.156
181,N1,C1,C2,C3,0.0,3,0.18
182,N1,C1,C2,C3,180.0,2,0.25
183,N1,C1,C2,C3,180.0,1,0.2
184,C1,O1,C4,C5,0.0,3,0.383
185,C1,O1,C4,C5,180.0,2,0.1
186,C1,O1,C4,C3,0.0,3,0.383
187,C1,O1,C4,C3,180.0,2,0.1
188,C2,C1,O1,C4,0.0,3,0.383
189,C2,C1,O1,C4,180.0,2,0.1
190,O5,C1,O1,C4,0.0,3,0.1
191,O5,C1,O1,C4,180.0,2,0.85
192,O5,C1,O1,C4,180.0,1,1.35
193,C1,O5,C5,C6,0.0,3,0.383
194,C1,O5,C5,C6,180.0,2,0.1
195,C1,O5,C5,C4,0.0,3,0.383
196,C1,O5,C5,C4,180.0,2,0.1
197,O1,C1,O5,C5,0.0,3,0.1
198,O1,C1,O5,C5,180.0,2,0.85
199,O1,C1,O5,C5,180.0,1,1.35
200,C2,C1,O5,C5,0.0,3,0.383
201,C2,C1,O5,C5,180.0,2,0.1
274,C5,C4,O1,C1,0.0,3,0.383
275,C5,C4,O1,C1,180.0,2,0.1
276,C3,C4,O1,C1,0.0,3,0.383
277,C3,C4,O1,C1,180.0,2,0.1
278,C4,O1,C1,C2,0.0,3,0.383
279,C4,O1,C1,C2,180.0,2,0.1
280,C4,O1,C1,O5,0.0,3,0.1
281,C4,O1,C1,O5,180.0,2,0.85
282,C4,O1,C1,O5,180.0,1,1.35
292,O1,C1,C2,H2,0.0,3,0.0
