,System_experimental,-TdS_experimental,-TdS_SEM_experimental,-TdS_smirnoff,-TdS_SEM_smirnoff,-TdS_bgbg,-TdS_SEM_bgbg,-TdS_bg2bg2,-TdS_SEM_bg2bg2
0,a-bam,0.5899999999999999,0.05385164807134505,-2.818777983161731,0.5258297501422768,0.01945499985841148,0.6276922244910867,0.11477116255461928,0.4482322578249404
1,a-but,1.0199999999999998,0.12649110640673517,-0.7265337230423482,0.6508736007572141,-0.01006269580011021,0.42237200083181903,1.7714267129322478,0.46985136548604495
2,a-cbu,0.73,0.05385164807134505,0.7466598083371108,0.2841135970513868,-0.1722172751587021,0.5372509933379587,1.2109717326610374,0.3581665866747666
3,a-chp,0.4800000000000004,0.23769728648009425,1.0402314457467514,0.48000949547982824,0.6325692905402724,0.3708187498914261,1.1595269065125464,0.41358535521283846
4,a-coc,-2.3,1.1840608092492546,2.0229554062098782,0.5335132527632375,1.0662198829199339,0.39907647655704065,2.8216307602139206,0.4020184625381047
5,a-cpe,0.6100000000000003,0.0282842712474619,0.3322632173550144,0.3898690161671095,-0.4407859469878015,0.5088194992406524,1.066516159925043,0.3692088813626291
6,a-ham,0.6600000000000006,0.02,0.5859127033512261,0.4420921514890609,-0.6822759711867485,0.35923380947869227,0.9165299003510174,0.3364049175749257
7,a-hep,0.20000000000000018,0.09055385138137416,0.7718290177869545,0.38724119901281817,0.12109158459852498,0.40848970071271157,2.4488630847891937,0.29396849697476624
8,a-hex,0.020000000000000018,0.022360679774997897,1.621593671667954,0.36649984286714754,0.026633305988055245,0.36395318337090926,2.1666749917654506,0.3686787720167963
9,a-hp6,0.8800000000000003,0.02,1.5416076467930901,0.38006219048347045,0.36510082152180257,0.2743152770092139,2.835628240603622,0.3596041226873792
10,a-hpa,0.5200000000000005,0.02,1.4493315180764519,0.47811210319263553,-0.5027817426113286,0.37184583136004257,1.3528680753983933,0.34310389939513325
11,a-hx2,0.7800000000000002,0.0608276253029822,1.4932366515662059,0.36506415935918585,-0.2496973910482314,0.36833513870859014,1.7740308686204616,0.347151850049727
12,a-hx3,0.3500000000000001,0.050990195135927854,-0.13099901542752201,0.6084057580545725,1.2256821623045533,0.3979910974906242,1.577341370342718,0.3629552613230729
13,a-mba,0.9200000000000002,0.07280109889280519,-0.27034457959008196,0.5057045627358281,-0.5707632420248314,0.4442974277093434,-0.057039401766942,0.4260092779915319
14,a-mha,0.6800000000000002,0.02,-0.2914901242692105,0.5792989521298884,-0.7292753579377451,0.3015031353577901,0.8475051918444585,0.4012218151733444
15,a-mhp,0.5700000000000003,0.02,0.9154054257084501,0.370356863248542,-0.40650054190941187,0.3002564868892637,1.892240493795728,0.34753410424524095
16,a-nmb,0.8799999999999999,0.06324555320336758,-0.8494211579879174,0.4994563438382231,-0.861120861717738,0.2921867608431496,0.6051704144371821,0.34684095609275845
17,a-nmh,0.6800000000000002,0.0806225774829855,0.04725441556437726,0.7616397873218603,-0.3780827068531636,0.2962413745369677,1.1805548959106744,0.36026249141520966
18,a-oam,0.8499999999999996,0.03162277660168379,0.24802379805521468,0.5665834174822979,-0.6012531507925765,0.3710396571042618,1.0240959323333447,0.34165727968456594
19,a-oct,0.2699999999999996,0.03605551275463989,1.4426523958630249,0.3659877351431865,-0.15704719305955273,0.3794302136648535,2.7240557895666946,0.35606314327956184
20,a-pam,0.5599999999999996,0.02,-0.9449822233285605,0.9814200528436167,-0.6838941974776143,0.337369188136936,0.44635468871433037,0.3994396952748419
21,a-pnt,0.1499999999999999,0.01414213562373095,-0.5138593546928489,0.43485564462458015,-0.12426267185909357,0.38024419283586347,1.842772603986103,0.35621830114591607
22,b-ben,0.8699999999999999,0.08246211251235322,-2.4014928785680683,0.8295612217262687,-1.0745510883806855,0.8730524721272169,-1.1498682501073005,0.3115897617699371
23,b-cbu,-2.43,0.2404163056034262,-1.9277878701298388,0.8510318023862795,-1.447724721263256,0.5824157995131825,-3.635513565197912,0.3359629892969814
24,b-chp,-1.5999999999999996,0.01414213562373095,-3.959723423540114,0.468134144960456,-4.611444419318554,0.6948771138460647,-1.8722592154896338,0.38634824778255406
25,b-coc,-1.0499999999999998,0.07211102550927978,-4.0754462416728305,0.5259005133955383,-3.8136432006345915,1.0156388741503695,-1.5613548892943738,0.49219825981322884
26,b-cpe,-1.9599999999999997,0.01414213562373095,-5.4339743504813764,0.5060745374983415,-7.1741489967904295,0.7194264908654596,-4.603257309919055,0.4040986901619113
27,b-ham,-3.0900000000000003,0.09433981132056604,-4.185500588523007,0.7070615981307025,-4.293779207035804,0.8171676379187589,-4.558927917031153,0.3843037704410799
28,b-hep,-3.81,0.18439088914585774,-3.355489726631143,0.47183890744500906,-5.252400289401509,0.4500840290552547,-3.2324050026615407,0.35086784542394445
29,b-hex,-3.59,0.05,-3.3418463987351927,0.6979742615627507,-3.766388416920603,0.6628750694046408,-3.381932834047419,0.319177225313905
30,b-m4c,-2.0500000000000003,0.01414213562373095,-5.071827053234813,0.5358342963447175,-5.293317615516868,0.6217178382247854,-2.5087928781716307,0.3712437154560769
31,b-m4t,-2.37,0.022360679774997897,-5.0808131001441925,0.4902424350572258,-5.988283722008215,0.5717484061283284,-3.2220526559198848,0.33250126573208777
32,b-mch,-1.8899999999999997,0.03162277660168379,-2.8999755139479912,1.1046722616957447,-5.575719535788103,0.7784097111778204,-2.700623387945322,0.38230229031298346
33,b-mha,-3.0300000000000002,0.07615773105863909,-3.99584655554858,0.602335187752491,-4.617031991638715,0.6936168365064092,-4.943227908454472,0.343577272053558
34,b-mo3,0.77,0.03162277660168379,-0.20474471871835265,0.5951704440820238,-2.14047751473277,0.6103803549525435,-0.2947522903348134,0.3437129455264147
35,b-mo4,-0.5499999999999998,0.01414213562373095,-1.4979202198683534,0.7095818537985873,-2.1861761915436695,0.4551538975961804,-0.44700248038139234,0.35632393295410625
36,b-mp3,1.29,0.13601470508735444,-1.9438732439333029,0.7376102203218056,-3.1584113604545245,0.556154996703374,-0.35381033766054015,0.3668402367287794
37,b-mp4,0.7000000000000002,0.050990195135927854,-0.18747210655325874,0.8268415279357145,-3.553769078826746,0.6929575736143693,-0.7164851810395421,0.3457141183216392
38,b-oam,-3.11,0.12369316876852982,-4.327231896347402,0.5003001262903618,-5.259246013898049,0.5294511199719375,-4.7272508449877435,0.4113994956696096
39,b-pb3,-1.27,0.01414213562373095,-1.8994371457912285,0.9891946546780745,-4.643690799961782,0.4696407385000091,-2.3412279266143337,0.3428124842183012
40,b-pb4,-0.7800000000000002,0.022360679774997897,-3.6034795628910574,0.7052693048792648,-1.8965912254357373,0.8537514172485584,-1.0133330025397935,0.3664324692521048
41,b-pha,0.09000000000000008,0.12083045973594572,-2.1402825233204985,0.762442596362053,-1.205021359752918,1.0103225418971458,-0.5247018968713242,0.4075773529822077
42,b-pnt,-3.16,0.6191122676865642,-1.4330978435592567,1.0388315912174038,-1.221814932463554,0.885033518697272,-2.4043423961544437,0.3534881345780098
