,System_experimental,Delta G_experimental,G_SEM_experimental,Delta G_smirnoff,G_SEM_smirnoff,Delta G_bgbg,G_SEM_bgbg,Delta G_bg2bg2,G_SEM_bg2bg2
0,a-bam,-1.58,0.02,-3.24688864207846,0.4447257164833475,-0.8237978797999392,0.2063954427190056,-2.9348189971715337,0.2337967026851271
1,a-but,-1.51,0.04,-1.4852303995699545,0.2675854373970086,-1.085932713284037,0.20479303628685294,-3.139643559262588,0.2190722267472833
2,a-cbu,-2.02,0.02,-1.3326782272465918,0.1868501708364381,-0.8866693932158249,0.21507343633145887,-3.7302564789928887,0.20709610022390468
3,a-chp,-2.51,0.06,-2.3789489936313264,0.2810343424357095,-1.6935633504842218,0.2436395980761752,-4.108139631273823,0.2279198206161769
4,a-coc,-3.23,1.14,-1.7804907078582626,0.2921643268931269,-1.8612771127804852,0.2437230707786517,-3.3513191492300174,0.2367069864804879
5,a-cpe,-2.13,0.02,-1.5933942638712315,0.2516430340965877,-1.4987240213419395,0.2913225400813799,-3.791762031878104,0.22345564593600406
6,a-ham,-3.53,0.0,-3.4321859838264213,0.29649912507622256,-3.01566189753168,0.19381256371192807,-5.993403924326066,0.17196699546605956
7,a-hep,-3.99,0.01,-3.947333323048248,0.20657740641426228,-3.9255167709580467,0.20099623843695769,-6.233196780429845,0.17454606591674346
8,a-hex,-3.38,0.01,-2.704836818547963,0.21278732479323384,-2.923050290230933,0.2073452950927597,-5.267280133998332,0.20405701115490352
9,a-hp6,-3.6,0.0,-3.3172779866172304,0.22566749683912796,-3.368472372543428,0.17541885851985695,-5.405712154617392,0.1788096111988782
10,a-hpa,-4.14,0.0,-3.0242465958541267,0.31571518500132123,-3.155273916019311,0.21909707337347076,-6.029298431604393,0.22441274989091906
11,a-hx2,-3.34,0.01,-2.742360393523203,0.1993376766861587,-2.5991797016752,0.18865822391649367,-4.785727573420892,0.1755099713148192
12,a-hx3,-3.01,0.01,-2.385296209509716,0.2519017863252213,-1.5781443877034076,0.23471411135422765,-3.935027210574564,0.2325297950588709
