,System_experimental,Delta H_experimental,H_SEM_experimental,Delta H_smirnoff,H_SEM_smirnoff,Delta H_bgbg,H_SEM_bgbg,Delta H_bg2bg2,H_SEM_bg2bg2
0,a-bam,-2.17,0.05,-0.42811065891672906,0.2805636527297548,-0.8432528796583507,0.5927887059580289,-3.049590159726153,0.3824281092812166
1,a-but,-2.53,0.12,-0.7586966765276063,0.5933249344631598,-1.0758700174839269,0.3694021106803342,-4.911070272194836,0.41565329917743693
2,a-cbu,-2.75,0.05,-2.0793380355837026,0.2140269835508403,-0.7144521180571228,0.4923231122212335,-4.941228211653926,0.2922233890062592
3,a-chp,-2.99,0.23,-3.419180439378078,0.3891385538886215,-2.3261326410244942,0.27954658202224514,-5.267666537786369,0.34511650412117284
4,a-coc,-0.93,0.32,-3.803446114068141,0.4464038496306861,-2.927496995700419,0.3160080677948058,-6.172949909443938,0.3249440671451436
5,a-cpe,-2.74,0.02,-1.925657481226246,0.2977811833507508,-1.057938074354138,0.4171671852483619,-4.858278191803147,0.29390946289013403
6,a-ham,-4.19,0.02,-4.018098687177647,0.3279233740331135,-2.3333859263449312,0.3024658989373566,-6.909933824677084,0.2891290733201502
7,a-hep,-4.19,0.09,-4.719162340835203,0.32753857997500346,-4.046608355556572,0.3556182612332419,-8.682059865219038,0.23653995029717706
8,a-hex,-3.4,0.02,-4.326430490215917,0.2984018921337173,-2.9496835962189882,0.2991151087603485,-7.433955125763783,0.3070582569063083
9,a-hp6,-4.48,0.02,-4.8588856334103205,0.3058127687089863,-3.7335731940652304,0.21089593470769455,-8.241340395221014,0.3119971922897154
10,a-hpa,-4.66,0.02,-4.473578113930579,0.35904749710709144,-2.6524921734079823,0.3004426646450553,-7.382166507002786,0.25953651663405963
11,a-hx2,-4.12,0.06,-4.235597045089409,0.3058370989628196,-2.3494823106269687,0.31635241259732866,-6.559758442041353,0.2995173733892902
12,a-hx3,-3.36,0.05,-2.254297194082194,0.5538077793604218,-2.803826550007961,0.3214128180595584,-5.512368580917282,0.2786869500568328
13,a-mba,-2.68,0.07,-0.9475929314239858,0.4061784929499902,-0.32221122088896964,0.369907760049556,-3.1120117444426203,0.3565776696459957
14,a-mha,-4.28,0.02,-3.3098331745339773,0.5036886327993014,-2.1600455117759565,0.2460851363318597,-6.399140567281084,0.33784008282141115
15,a-mhp,-4.74,0.02,-4.892071331936128,0.2302689360538589,-3.408657394114348,0.2336296314557796,-8.121013844521688,0.27948413672297945
16,a-nmb,-2.57,0.06,-1.104734406304901,0.2758485821987437,0.02972947820479023,0.22757222300610996,-3.3416061643366506,0.27340685862383834
17,a-nmh,-4.2,0.08,-4.201387310997268,0.479672489561608,-2.5413707333698494,0.23513724213995424,-6.738561314701595,0.3030558878953657
18,a-oam,-5.46,0.03,-4.927961611132006,0.2807084998665612,-3.725994515366935,0.3274806767999014,-8.01630624131149,0.2813917152062135
19,a-oct,-4.89,0.03,-6.078469607508509,0.2122985095896716,-4.6891972087966,0.29067910025066634,-9.534560861873043,0.3029530510317186
20,a-pam,-3.28,0.02,-1.7168718966690553,0.6067294247337548,-0.8434113220154213,0.28498604216708423,-4.448954738763652,0.326526880608538
21,a-pnt,-2.75,0.01,-2.048856290363999,0.3713386055731767,-1.6163295768441583,0.329018357736606,-5.985753361144639,0.3036712476791885
22,b-ben,-2.51,0.08,-0.44629840872748494,0.5563348481080065,-0.7555686723905931,0.8225927532644894,-1.295284232077668,0.2605462460429123
23,b-cbu,0.88,0.17,0.05130941139835722,0.8272106209586487,-0.1938333407127848,0.4604708138653751,0.8656300630127005,0.291172756423203
24,b-chp,-2.96,0.01,0.8846343942831659,0.3964306252734143,1.8193255898251028,0.6080575443026847,-4.393418453440057,0.3140514064482625
25,b-coc,-3.92,0.06,0.7963985173566066,0.4732983653118552,0.4522583005840888,0.9830041769338428,-5.569880316880591,0.4410083712132587
26,b-cpe,-1.09,0.01,1.8594792938279925,0.3747202954129762,3.6246247829212814,0.6468509346586311,-1.3220781522149043,0.3049046688076045
27,b-ham,0.6,0.05,1.6608332306782765,0.6786970964841662,2.286091396585776,0.7750549702160029,0.4213085755495216,0.3349688478524006
28,b-hep,0.42,0.04,-0.05311346003248033,0.3811765184069499,1.910733118536784,0.28798760748069113,-0.9155260712767518,0.2660382637390359
29,b-hex,1.31,0.04,0.4135629445654676,0.6520295438748783,1.2966790311664826,0.604042985684155,-0.2119258454735492,0.2716575335158772
30,b-m4c,-2.27,0.01,2.182525741186132,0.4810844130117298,2.6157374926658843,0.5501863979668726,-3.132505499628747,0.2995070479228948
31,b-m4t,-2.17,0.02,1.2563158464689712,0.4513338882671429,2.4852725231474952,0.5084585438491116,-3.1081379776876426,0.2869686369521797
32,b-mch,-2.29,0.03,-0.790402700461854,1.082902915294068,2.266245451421056,0.7323445427401014,-3.3734440450888035,0.34399670050553754
33,b-mha,0.47,0.03,0.5337914238199903,0.5527812808583715,2.480559853793183,0.6360276896885464,0.28395716104116553,0.29027847512144866
34,b-mo3,-2.93,0.03,-2.6644896562691938,0.4611135839482653,-0.5933359825961466,0.4489090559731924,-2.4997490457490685,0.2822171995011779
35,b-mo4,-1.96,0.01,-2.6879217585977564,0.5800939511501697,-0.9134361292758868,0.3341404609339104,-3.0472296491362987,0.29022754753182056
36,b-mp3,-2.75,0.13,-1.0892202135662483,0.6845366456304082,0.6789829794042274,0.4816593252467696,-2.644315517838561,0.31415173851563066
37,b-mp4,-2.89,0.05,-2.8353154610917657,0.7635901991272579,0.77928781412885,0.6038927284587294,-2.3392464797047405,0.2769688172319656
