,atom1,atom2,atom3,atom4,phi_k_smirnoff,per,phase_smirnoff,phi_k_bgbg_tip3p,phase_bgbg_tip3p
0,O1,C1,C2,O2,0.144,3,0.0,0.144,0.0
576,O1,C1,C2,O2,1.175,2,0.0,1.175,0.0
1152,O1,C1,C2,C3,0.156,3,0.0,0.155555556,0.0
1744,O5,C1,C2,O2,1.175,2,0.0,,
1748,O5,C1,C2,C3,0.156,3,0.0,,
2328,C1,C2,C3,C4,0.18,3,0.0,0.18,0.0
2904,C1,C2,C3,C4,0.25,2,179.99999979432002,0.25,180.00007714362235
3480,C1,C2,C3,C4,0.2,1,179.99999979432002,0.2,180.00007714362235
4056,C1,O1,C4,C5,0.383,3,0.0,0.383,0.0
4456,C1,O1,C4,C5,0.1,2,179.99999979432002,0.1,180.00007714362235
6456,O5,C1,O1,C4,0.1,3,0.0,0.1,0.0
6856,O5,C1,O1,C4,0.85,2,179.99999979432002,0.85,180.00007714362235
7256,O5,C1,O1,C4,1.35,1,179.99999979432002,1.35,180.00007714362235
12840,O1,C1,C2,H2,0.0,3,0.0,0.0,0.0
13416,O1,C1,C2,H2,0.25,1,0.0,0.25,0.0
14008,O5,C1,C2,H2,0.25,1,0.0,,
14012,H1,C1,C2,O2,0.0,3,0.0,0.155555556,0.0
14612,H1,C1,C2,C3,0.16,3,0.0,0.155555556,0.0
15188,H1,C1,C2,H2,0.15,3,0.0,0.155555556,0.0
16340,C1,C2,O2,HO2,0.16,3,0.0,0.16,0.0
17492,C1,O1,C4,H4,0.383333333,3,0.0,0.383333333,0.0
32100,H2,C2,O2,HO2,0.166666667,3,0.0,0.166666667,0.0
