,system,smirnoff_fe,smirnoff_sem,bgbg_tip3p_fe,bgbg_tip3p_sem,guest_type
0,a-bam-p,-3.235478051155729,0.4513651501582682,-0.016102700000000247,0.23476476174884084,aliphatic_ammoniums
1,a-bam-s,-0.5430497515778097,0.3807726502938913,-0.6169924999999994,0.2702631066126119,aliphatic_ammoniums
2,a-but-p,0.20368944904895692,0.29833531347317205,-0.3350268000000005,0.3120591115802581,aliphatic_carboxylates
3,a-but-s,-1.4392693268885441,0.2876273761564185,-0.8463236000000007,0.25541130097241194,aliphatic_carboxylates
4,a-cbu-p,-0.7879734757688706,0.28918582297602574,-0.2649001000000011,0.2658864147866528,cyclic_alcohols
5,a-cbu-s,-0.9781171835088482,0.23563184136232154,-0.5799435999999991,0.3009610722183685,cyclic_alcohols
6,a-chp-p,-0.8139790929621231,0.33756997010885775,0.2635359999999993,0.269686459854161,cyclic_alcohols
7,a-chp-s,-2.3187306024462426,0.30708021839932736,-1.665231900000001,0.25402617353078005,cyclic_alcohols
8,a-coc-p,0.4666129407386581,0.29628978193765354,0.34274619999999967,0.3079590973721348,cyclic_alcohols
9,a-coc-s,-1.761757636516867,0.3010141888685356,-1.8420998000000024,0.2510348839748572,cyclic_alcohols
10,a-cpe-p,0.34335609943748757,0.24724294225900195,-1.1174503000000007,0.4661554125738111,cyclic_alcohols
11,a-cpe-s,-1.5634678577158514,0.26308304889587447,-0.9363596000000021,0.23891926774329023,cyclic_alcohols
12,a-ham-p,-3.478479361571475,0.5250276803109756,-2.258213999999998,0.24438249374548088,aliphatic_ammoniums
13,a-ham-s,-2.867676195013795,0.5260634390788683,-2.177588799999998,0.2427606251812884,aliphatic_ammoniums
14,a-hep-p,-3.0243377991051066,0.28761129889395326,-2.8243131000000004,0.24561883105273097,aliphatic_carboxylates
15,a-hep-s,-3.7760740021910895,0.2529466373140411,-3.8064848000000024,0.2372420500608819,aliphatic_carboxylates
16,a-hex-p,-1.803397735692906,0.3054996011901206,-2.4651664,0.3273544191966102,aliphatic_carboxylates
17,a-hex-s,-2.5246814134170794,0.2596534500607991,-2.4879757000000025,0.24233600268377375,aliphatic_carboxylates
18,a-hp6-p,-2.586237615345061,0.3021319165601191,-2.868683400000001,0.2382335248942306,aliphatic_carboxylates
19,a-hp6-s,-3.0636453519191864,0.295243647235982,-2.9889150000000013,0.24538212548123794,aliphatic_carboxylates
20,a-hpa-p,-3.9120815591832905,0.8498153049616546,-3.1280186,0.24158326775923453,aliphatic_ammoniums
21,a-hpa-s,-2.6988870801040985,0.4633037256611636,-3.0724615999999996,0.24680951042621918,aliphatic_ammoniums
22,a-hx2-p,-2.366544195375903,0.29952615409403655,-1.8456242999999999,0.25258146957928246,aliphatic_carboxylates
23,a-hx2-s,-2.2229650706997806,0.23801699760596295,-2.3726022999999996,0.24454775348438593,aliphatic_carboxylates
24,a-hx3-p,-0.9231396396822209,0.30865119597308094,-0.6223060000000009,0.26977353778601043,aliphatic_carboxylates
25,a-hx3-s,-2.3793669332284626,0.25303839536794265,-1.562006499999998,0.2416564070499063,aliphatic_carboxylates
26,a-mba-p,0.765521379446719,0.2972955453637082,0.6530083999999983,0.2584546051727653,aliphatic_ammoniums
27,a-mba-s,-1.1896554518027234,0.31536116394901503,-0.8369252999999999,0.2690280037629912,aliphatic_ammoniums
28,a-mha-p,-2.00965332374191,0.2804133293588192,-2.4213401999999986,0.24490815578510242,aliphatic_ammoniums
29,a-mha-s,-3.545989527252617,0.31086760659650886,-2.4820994999999995,0.24174468693853438,aliphatic_ammoniums
30,a-mhp-p,-2.931906085873033,0.3122838980941311,-3.2377345999999987,0.2476509467703687,aliphatic_ammoniums
31,a-mhp-s,-3.8284029732153915,0.3541022030034318,-3.488541399999998,0.26223550334518014,aliphatic_ammoniums
32,a-nmb-p,-1.786033900522094,0.5065343586139228,-0.16649729999999874,0.2554051358455229,aliphatic_ammoniums
33,a-nmb-s,-0.840927288764286,0.4467154776625964,-0.5603354000000005,0.2421360129358291,aliphatic_ammoniums
34,a-nmh-p,-3.9450011815609347,0.7458320241004672,-2.6058267999999982,0.24216177473108758,aliphatic_ammoniums
35,a-nmh-s,-3.0122555756793634,0.47591938221282787,-2.3255117000000025,0.25268647182914244,aliphatic_ammoniums
36,a-oam-p,-4.5460203685703195,0.5893342511585338,-3.9816332,0.24080804330443367,aliphatic_ammoniums
37,a-oam-s,-3.431134007384488,0.33837032554952645,-3.7844925000000016,0.23993898461152577,aliphatic_ammoniums
38,a-oct-p,-3.5270580437606274,0.3210201817864597,-3.025824899999999,0.2536058476635545,aliphatic_carboxylates
39,a-oct-s,-4.499449836128443,0.35679469473199116,-4.8114520999999995,0.2584706791465717,aliphatic_carboxylates
40,a-pam-p,-2.622613212277505,0.8130594564335847,-1.0646948000000007,0.243415988707521,aliphatic_ammoniums
41,a-pam-s,-0.28884131477294694,0.42428690969057065,-1.1131431999999988,0.2554496562013932,aliphatic_ammoniums
42,a-pnt-p,-1.8182705519666076,0.3174440089261779,-0.9196491,0.25259240859412224,aliphatic_carboxylates
43,a-pnt-s,-2.3120654362915065,0.2901310681571457,-1.5418880000000028,0.2418621565228219,aliphatic_carboxylates
