,System,Delta G,G_SEM,Delta H,H_SEM
0,a-bam,-1.58,0.02,-2.17,0.05
1,a-nmb,-1.69,0.02,-2.57,0.06
2,a-mba,-1.76,0.02,-2.68,0.07
3,a-pam,-2.72,0.00,-3.28,0.02
4,a-ham,-3.53,0.00,-4.19,0.02
5,a-nmh,-3.52,0.01,-4.20,0.08
6,a-mha,-3.60,0.00,-4.28,0.02
7,a-hpa,-4.14,0.00,-4.66,0.02
8,a-mhp,-4.17,0.00,-4.74,0.02
9,a-oam,-4.61,0.01,-5.46,0.03
10,b-ham,-2.49,0.08,0.60,0.05
11,b-mha,-2.56,0.07,0.47,0.03
12,b-oam,-3.59,0.12,-0.48,0.03
13,a-cbu,-2.02,0.02,-2.75,0.05
14,a-cpe,-2.13,0.02,-2.74,0.02
15,a-chp,-2.51,0.06,-2.99,0.23
16,a-coc,-3.23,1.14,-0.93,0.32
17,b-cbu,-1.55,0.17,0.88,0.17
18,b-cpe,-3.05,0.01,-1.09,0.01
19,b-mch,-4.18,0.01,-2.29,0.03
20,b-m4c,-4.32,0.01,-2.27,0.01
21,b-m4t,-4.54,0.01,-2.17,0.02
22,b-chp,-4.56,0.01,-2.96,0.01
23,b-coc,-4.97,0.04,-3.92,0.06
24,a-but,-1.51,0.04,-2.53,0.12
25,a-pnt,-2.60,0.01,-2.75,0.01
26,a-hex,-3.38,0.01,-3.40,0.02
27,a-hx2,-3.34,0.01,-4.12,0.06
28,a-hx3,-3.01,0.01,-3.36,0.05
29,a-hep,-3.99,0.01,-4.19,0.09
30,a-hp6,-3.60,0.00,-4.48,0.02
31,a-oct,-4.62,0.02,-4.89,0.03
32,b-pnt,-1.27,0.32,1.89,0.53
33,b-hex,-2.28,0.03,1.31,0.04
34,b-hep,-3.39,0.18,0.42,0.04
35,b-ben,-1.64,0.02,-2.51,0.08
36,b-pha,-1.70,0.05,-1.79,0.11
37,b-mp3,-1.46,0.04,-2.75,0.13
38,b-mp4,-2.19,0.01,-2.89,0.05
39,b-mo3,-2.16,0.01,-2.93,0.03
40,b-mo4,-2.51,0.01,-1.96,0.01
41,b-pb3,-3.52,0.01,-2.25,0.01
42,b-pb4,-3.60,0.02,-2.82,0.01
