,types,div,height,phase,per,SCEE,SCNB
4,c3-c3-c3-c3,1,0.20000000,180.000,-1.0,SCEE=1.2,SCNB=2.0
5,c3-c3-c3-c3,1,0.25000000,180.000,-2.0,SCEE=1.2,SCNB=2.0
6,c3-c3-c3-c3,1,0.18000000,0.000,3.0,SCEE=1.2,SCNB=2.0
2,c3-c3-c3-oh,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
3,c3-c3-c3-os,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
20,c3-c3-oh-ho,1,0.25000000,0.000,-1.0,SCEE=1.2,SCNB=2.0
21,c3-c3-oh-ho,1,0.16000000,0.000,3.0,SCEE=1.2,SCNB=2.0
10,c3-c3-os-c3,1,0.38300000,0.000,3.0,SCEE=1.2,SCNB=2.0
9,c3-c3-os-c3,1,0.10000000,180.000,-2.0,SCEE=1.2,SCNB=2.0
27,c3-os-c3-h1,1,0.38333333,0.000,3.0,SCEE=1.2,SCNB=2.0
22,h1-c3-c3-c3,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
17,h1-c3-c3-h1,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
18,h1-c3-c3-oh,1,0.25000000,0.000,-1.0,SCEE=1.2,SCNB=2.0
19,h1-c3-c3-oh,1,0.00000000,0.000,3.0,SCEE=1.2,SCNB=2.0
14,h1-c3-oh-ho,1,0.16666667,0.000,3.0,SCEE=1.2,SCNB=2.0
25,h2-c3-c3-c3,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
23,h2-c3-c3-h1,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
24,h2-c3-c3-oh,1,0.15555556,0.000,3.0,SCEE=1.2,SCNB=2.0
26,h2-c3-os-c3,1,0.38333333,0.000,3.0,SCEE=1.2,SCNB=2.0
7,oh-c3-c3-oh,1,1.17500000,0.000,-2.0,SCEE=1.2,SCNB=2.0
8,oh-c3-c3-oh,1,0.14400000,0.000,3.0,SCEE=1.2,SCNB=2.0
15,os-c3-c3-h1,1,0.25000000,0.000,-1.0,SCEE=1.2,SCNB=2.0
16,os-c3-c3-h1,1,0.00000000,0.000,3.0,SCEE=1.2,SCNB=2.0
0,os-c3-c3-oh,1,1.17500000,0.000,-2.0,SCEE=1.2,SCNB=2.0
1,os-c3-c3-oh,1,0.14400000,0.000,3.0,SCEE=1.2,SCNB=2.0
11,os-c3-os-c3,1,1.35000000,180.000,-1.0,SCEE=1.2,SCNB=2.0
12,os-c3-os-c3,1,0.85000000,180.000,-2.0,SCEE=1.2,SCNB=2.0
13,os-c3-os-c3,1,0.10000000,0.000,3.0,SCEE=1.2,SCNB=2.0
