,types,div,height,phase,per,SCEE,SCNB
12,c3-c3-c3-c3,1,0.20000000,180.000,1.0,SCEE=1.0,SCNB=1.0
11,c3-c3-c3-c3,1,0.25000000,180.000,-2.0,SCEE=1.0,SCNB=1.0
10,c3-c3-c3-c3,1,0.18000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
43,c3-c3-c3-h1,1,0.16000000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
9,c3-c3-c3-oh,1,0.15600000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
5,c3-c3-c3-os,1,0.15600000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
17,c3-c3-c3-os,1,0.15600000,0.000,3.0,SCEE=1.0,SCNB=1.0
71,c3-c3-oh-ho,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
70,c3-c3-oh-ho,1,0.16000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
31,c3-c3-os-c3,1,0.38300000,0.000,-3.0,SCEE=1.0,SCNB=1.0
32,c3-c3-os-c3,1,0.10000000,180.000,2.0,SCEE=1.0,SCNB=1.0
24,c3-os-c3-c3,1,0.38300000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
25,c3-os-c3-c3,1,0.10000000,180.000,2.0,SCEE=1.0,SCNB=1.0
26,c3-os-c3-c3,1,0.38300000,0.000,-3.0,SCEE=1.0,SCNB=1.0
82,c3-os-c3-h1,1,0.38333333,0.000,3.0,SCEE=1.20000048,SCNB=2.0
46,h1-c3-c3-c3,1,0.16000000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
47,h1-c3-c3-h1,1,0.15000000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
45,h1-c3-c3-oh,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
44,h1-c3-c3-oh,1,0.00000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
35,h1-c3-c3-os,1,0.00000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
36,h1-c3-c3-os,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
72,h1-c3-oh-ho,1,0.16666667,0.000,3.0,SCEE=1.20000048,SCNB=2.0
39,h2-c3-c3-c3,1,0.16000000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
40,h2-c3-c3-h1,1,0.15000000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
38,h2-c3-c3-oh,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
37,h2-c3-c3-oh,1,0.00000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
83,h2-c3-os-c3,1,0.38333333,0.000,3.0,SCEE=1.20000048,SCNB=2.0
69,ho-oh-c3-c3,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
68,ho-oh-c3-c3,1,0.16000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
8,oh-c3-c3-c3,1,0.15600000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
41,oh-c3-c3-h1,1,0.00000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
42,oh-c3-c3-h1,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
6,oh-c3-c3-oh,1,0.14400000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
7,oh-c3-c3-oh,1,1.17500000,0.000,2.0,SCEE=1.0,SCNB=1.0
3,oh-c3-c3-os,1,0.14400000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
4,oh-c3-c3-os,1,1.17500000,0.000,2.0,SCEE=1.0,SCNB=1.0
2,os-c3-c3-c3,1,0.15600000,0.000,3.0,SCEE=1.20000048,SCNB=2.0
33,os-c3-c3-h1,1,0.00000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
34,os-c3-c3-h1,1,0.25000000,0.000,1.0,SCEE=1.0,SCNB=1.0
1,os-c3-c3-oh,1,1.17500000,0.000,2.0,SCEE=1.0,SCNB=1.0
0,os-c3-c3-oh,1,0.14400000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
28,os-c3-os-c3,1,0.10000000,0.000,-3.0,SCEE=1.20000048,SCNB=2.0
29,os-c3-os-c3,1,0.85000000,180.000,-2.0,SCEE=1.0,SCNB=1.0
30,os-c3-os-c3,1,1.35000000,180.000,1.0,SCEE=1.0,SCNB=1.0
