,Delta G,Delta H,G_SEM,H_SEM,System,Type
0,-3.245321667718919,-0.4286788727280524,0.44617996781912955,0.2802557036437517,a-bam,aliphatic_ammoniums
1,-1.483706676654309,-0.7569715522772813,0.268113024827312,0.5949836854305995,a-but,aliphatic_carboxylates
2,-1.332827776061217,-2.0801013020232615,0.1869278244362617,0.21458227805466998,a-cbu,cyclic_alcohols
3,-2.379949022947538,-3.4195775052945683,0.28217478737651164,0.3897410106077598,a-chp,cyclic_alcohols
4,-1.5941128033408187,-1.9253811926423134,0.25137308110447454,0.29806236459933977,a-cpe,cyclic_alcohols
5,-1.7810642298223596,-3.79964608775426,0.29258470154044114,0.4476631229318116,a-coc,cyclic_alcohols
6,-3.9474155023858835,-4.718680906522457,0.20627632203479662,0.3288270005936769,a-hep,aliphatic_carboxylates
7,-3.433566181597001,-4.017628882968821,0.2972355222216553,0.32763422994416525,a-ham,aliphatic_ammoniums
8,-3.316614881684854,-4.858383807214792,0.22653810874480804,0.3064577347961046,a-hp6,aliphatic_carboxylates
9,-2.7049251688001097,-4.326782338837792,0.21214232674322575,0.2980169315319285,a-hex,aliphatic_carboxylates
10,-2.7431733811428702,-4.236945303922693,0.20125771105883375,0.3052338857652869,a-hx2,aliphatic_carboxylates
11,-3.0268510438848777,-4.473243943354574,0.3160862822597937,0.35677844359176725,a-hpa,aliphatic_ammoniums
12,-1.2188878485515955,-0.9456527087429837,0.301958147089783,0.40544426494441194,a-mba,aliphatic_ammoniums
13,-2.3841431296478817,-2.2530986170945133,0.25057395094852597,0.5556556983806463,a-hx3,aliphatic_carboxylates
14,-3.9760349350468,-4.892095981407301,0.2908895286707877,0.23040422957932663,a-mhp,aliphatic_ammoniums
15,-3.6029866742736347,-3.307870889374887,0.28537434947491813,0.5046703850081476,a-mha,aliphatic_ammoniums
16,-4.1524584785326,-4.200825339058301,0.5897881148643397,0.47939623959304395,a-nmh,aliphatic_ammoniums
17,-1.953903677747212,-1.1063525972691484,0.4151539366049983,0.27684382813449654,a-nmb,aliphatic_ammoniums
18,-4.634481139448985,-6.078454090680936,0.29860412893061855,0.21254668545099542,a-oct,aliphatic_carboxylates
19,-4.680945826462301,-4.928113879381451,0.49194572349461774,0.28161472927084225,a-oam,aliphatic_ammoniums
20,-2.561378176526402,-2.050675237359028,0.22533112338125116,0.36962692078342996,a-pnt,aliphatic_carboxylates
21,-2.659343098047022,-1.7191435768805938,0.7735091440925316,0.605877246794611,a-pam,aliphatic_ammoniums
22,-2.8482673029154615,-0.4449982058040899,0.6184472381956292,0.5576648736550407,b-ben,aliphatic_carboxylates
23,-1.8759432557553477,0.0518161526176186,0.2002117150157414,0.8275921121244373,b-cbu,cyclic_alcohols
24,-3.07210472211306,0.8853305915339845,0.24759553161275868,0.3957111289221977,b-chp,cyclic_alcohols
25,-3.278251976068358,0.798278059955743,0.229162962323655,0.4736641180507576,b-coc,cyclic_alcohols
26,-3.576032012845019,1.8613373681066792,0.338325576503257,0.3774238406281876,b-cpe,cyclic_alcohols
27,-2.525886613875409,1.6694942731704767,0.1990808486977469,0.6780960121805939,b-ham,aliphatic_ammoniums
28,-3.4090231257258488,-0.05223671607833002,0.27751425384130196,0.3805941850303905,b-hep,aliphatic_carboxylates
29,-2.9274232828400653,0.415832626384145,0.24797215870566114,0.6499172248450511,b-hex,aliphatic_carboxylates
30,-2.8920073205736934,2.182660034538461,0.23737843698118236,0.47974153729539243,b-m4c,cyclic_alcohols
31,-3.823806238704065,1.2552422948346238,0.1912279378397617,0.4501161824809321,b-m4t,cyclic_alcohols
32,-3.690001036895968,-0.7902230263671296,0.21809599802285912,1.082677249278912,b-mch,cyclic_alcohols
33,-3.460522875310563,0.5310297785838042,0.23887214279352034,0.5505808163824523,b-mha,aliphatic_ammoniums
34,-2.8719877789757873,-2.664516665969646,0.376853432038112,0.4587586636249038,b-mo3,aliphatic_carboxylates
35,-4.188176253924645,-2.6851950222710905,0.41031852908368266,0.5812475487690936,b-mo4,aliphatic_carboxylates
36,-3.0338170763310255,-1.089604489064648,0.2739717044934525,0.6831822028598683,b-mp3,aliphatic_carboxylates
37,-3.02176884848124,-2.8331132821730356,0.31649313713354843,0.7653087772786914,b-mp4,aliphatic_carboxylates
38,-3.3494342901770753,0.9808648178722037,0.28234481450923443,0.4133961131767653,b-oam,aliphatic_ammoniums
39,-3.4853704866297037,-1.5904164062057082,0.3200228585242747,0.9362331509348066,b-pb3,aliphatic_carboxylates
40,-3.6201532777450174,-0.019432766527655344,0.33012648858689236,0.6248128369454715,b-pb4,aliphatic_carboxylates
41,-3.2391002498431365,-1.1021686887852833,0.3136843076941091,0.6959507675797438,b-pha,aliphatic_carboxylates
42,-2.225580396329465,-0.7923083196988912,0.24815686062718212,1.0034262994169085,b-pnt,aliphatic_carboxylates
