,Delta G,Delta H,G_CI,G_SEM,H_CI,H_SEM,System,Type
0,-3.0593156214551813,-0.4294215766208755,[-3.62602963 -2.49938881],0.28759077304515157,[-0.97858311  0.11611945],0.2796730949305161,a-bam,aliphatic_ammoniums
1,-2.3784020449829315,-0.6989108262632182,[-2.85916741 -1.89766725],0.24490297545169104,[-1.92132452  0.51714285],0.6224516467711836,a-but,aliphatic_carboxylates
2,-1.3687526882584222,-2.0757879141638638,[-1.66060084 -1.08085527],0.14761993460337483,[-2.51064536 -1.63747123],0.22196704692204078,a-cbu,cyclic_alcohols
3,-2.286792388644931,-3.5104592930145238,[-2.69497284 -1.88826007],0.20624047232434578,[-4.25770245 -2.76934771],0.3798658195765378,a-chp,cyclic_alcohols
4,-1.5859440453854192,-1.908000629804793,[-1.94438576 -1.23787515],0.18044346163400232,[-2.48127064 -1.34270793],0.2901746328644042,a-cpe,cyclic_alcohols
5,-1.9151425479230173,-3.706899556241745,[-2.3485066  -1.49645762],0.21803615814378166,[-4.56564919 -2.85584685],0.4348047746302684,a-coc,cyclic_alcohols
6,-3.9144787283346725,-4.716553364183765,[-4.22784019 -3.61039233],0.15773200764842318,[-5.35796719 -4.07763238],0.32703867748851345,a-hep,aliphatic_carboxylates
7,-3.619056353805894,-4.015139653828102,[-4.18617563 -3.12653738],0.2695701209439352,[-4.56108455 -3.46867509],0.2773008465120702,a-ham,aliphatic_ammoniums
8,-3.28017614048346,-4.878443937356708,[-3.5883995  -2.97852485],0.15545451008148584,[-5.45250166 -4.30165664],0.29363698141778566,a-hp6,aliphatic_carboxylates
9,-2.6291407410525065,-4.384754339959521,[-2.93386274 -2.332755  ],0.15339351725061848,[-4.94335234 -3.8489924 ],0.2784364560309133,a-hex,aliphatic_carboxylates
10,-2.6593612383180325,-4.22300559903166,[-2.9441166  -2.37760772],0.14408127341854282,[-4.72781311 -3.71607305],0.25855279557000505,a-hx2,aliphatic_carboxylates
11,-4.007267200062332,-4.403698009568814,[-4.48836278 -3.54861948],0.2413212063133699,[-4.91694135 -3.90805696],0.2568464864615145,a-hpa,aliphatic_ammoniums
12,-1.250870431298799,-0.9524954345823932,[-1.66331325 -0.84809393],0.20824513695850105,[-1.7539947  -0.15397892],0.40727868245541726,a-mba,aliphatic_ammoniums
