atom1,atom2,atom3,atom4,periodicity,phase,height_x,height_y
  C1 ,   O1,  C4 ,   C3,1.0,0.0,--,0.0
  C1 ,   O1,  C4 ,   C3,2.0,0.0,0.1,0.16
  C1 ,   O1,  C4 ,   C3,3.0,0.0,0.38,0.24
  C1 ,   O1,  C4 ,   C5,1.0,0.0,--,0.0
  C1 ,   O1,  C4 ,   C5,2.0,0.0,0.1,0.16
  C1 ,   O1,  C4 ,   C5,3.0,0.0,0.38,0.24
  C2 ,   C1,  O1 ,   C4,1.0,0.0,--,0.0
  C2 ,   C1,  O1 ,   C4,2.0,0.0,0.1,0.16
  C2 ,   C1,  O1 ,   C4,3.0,0.0,0.38,0.24
  O1 ,   C4,  C3 ,   O3,1.0,0.0,--,0.02
  O1 ,   C4,  C3 ,   O3,2.0,0.0,1.18,0.0
  O1 ,   C4,  C3 ,   O3,3.0,0.0,0.14,1.01
  O1 ,   C4,  C5 ,   O5,1.0,0.0,--,0.17
  O1 ,   C4,  C5 ,   O5,2.0,0.0,1.18,0.0
  O1 ,   C4,  C5 ,   O5,3.0,0.0,0.14,0.0
